pincode,officeName,district,state,storedLat,storedLon,kmFromRegion,regionPrefix,severity
491443,"SOMNI S.O","RAJNANDGAON","CHHATTISGARH",22.223389,81.412039,124,49144*,HIGH
509120,"Srirangapur S.O","WANAPARTHY","TELANGANA",17.0912222,78.0844444,123,50912*,HIGH
743356,"Ghoramara Mandirtala BO","24 PARAGANAS SOUTH","WEST BENGAL",22.9133,88.1297,123,74335*,HIGH
440035,"Kalmna Market Yard S.O","NAGPUR","MAHARASHTRA",19.98925,79.55677778,123,44003*,HIGH
160004,"Airforce Highground SO","CHANDIGARH","CHANDIGARH",30.6473056,76.7890278,122,16000*,HIGH
585353,"Maniknagar S.O","BIDAR","KARNATAKA",17.78369444,77.11138889,122,58535*,HIGH
480997,"Ghansore S.O","SEONI","MADHYA PRADESH",22.6567,80.0666,122,480*,HIGH
713361,"Suryanagar SO Bardhaman","PASCHIM BARDHAMAN","WEST BENGAL",23.8371222,86.909973,121,71336*,HIGH
670304,"Madayi SO","KANNUR","KERALA",11.874535,75.37019,121,67030*,HIGH
670302,"Mattul SO","KANNUR","KERALA",11.874535,75.37019,121,67030*,HIGH
509201,"Amrabad S.O","NAGARKURNOOL","TELANGANA",16.3763056,78.8322778,119,50920*,HIGH
533355,"K gangavaram","EAST GODAVARI","ANDHRA PRADESH",16.7354,82.03448,119,53335*,HIGH
625004,"Pasumalai SO","MADURAI","TAMIL NADU",9.89375,78.0800278,119,62500*,HIGH
493881,"Nawapara Rajim SO","RAIPUR","CHHATTISGARH",20.58028,81.5143,118,49388*,HIGH
504303,"Srirampur Colony S.O","MANCHERIAL","TELANGANA",18.856977,79.504672,118,50430*,HIGH
515321,"Rolla S.O","Sri Sathya Sai","ANDHRA PRADESH",13.84230556,77.10155556,117,515*,HIGH
147008,"Nodal Delivery Center (Parcel)  Patiala","PATIALA","PUNJAB",30.334492,76.385886,117,14700*,HIGH
682557,"Kalpeni S.O","LAKSHADWEEP DISTRICT","LAKSHADWEEP",10.067286,73.64425,116,68255*,HIGH
